gene_id,n_bqtl,n_in_peak,n_with_motif,recoverable_peak_only,recoverable_motif_only,recoverable_peak_and_motif,has_unique_family,best_chr,best_pos,best_cohens_d,best_fdr,best_families
Zm00001eb119990,2,1,2,True,False,True,True,chr3,3512727.0,-6.55157865403608,0.0188111888111888,NONE
Zm00001eb122350,2,2,2,False,False,False,True,,,,,
Zm00001eb124060,2,2,2,False,False,False,True,,,,,
Zm00001eb126640,2,2,2,False,False,False,True,,,,,
Zm00001eb127110,3,3,3,False,False,False,True,,,,,
Zm00001eb127300,2,2,2,False,False,False,True,,,,,
Zm00001eb128590,2,2,2,False,False,False,True,,,,,
Zm00001eb131470,2,1,2,True,False,True,True,chr3,66340843.0,2.5033563404229935,0.0376566109050185,NAC|SBP|TALE
Zm00001eb133750,2,2,2,False,False,False,True,,,,,
Zm00001eb137530,4,4,4,False,False,False,True,,,,,
Zm00001eb138330,2,2,2,False,False,False,True,,,,,
Zm00001eb140400,2,2,2,False,False,False,True,,,,,
Zm00001eb140980,2,2,2,False,False,False,True,,,,,
Zm00001eb149640,2,2,2,False,False,False,True,,,,,
Zm00001eb151720,2,2,2,False,False,False,True,,,,,
Zm00001eb152020,2,2,2,False,False,False,True,,,,,
Zm00001eb153780,3,3,3,False,False,False,True,,,,,
Zm00001eb156000,3,3,3,False,False,False,True,,,,,
Zm00001eb168100,2,1,2,True,False,True,True,chr4,12192180.0,-2.031666904317096,0.0468443117268101,C2H2|G2-like|GRAS|MIKC_MADS|MYB|TALE
Zm00001eb169460,3,3,3,False,False,False,True,,,,,
Zm00001eb170730,2,2,2,False,False,False,True,,,,,
Zm00001eb171790,3,2,3,False,False,False,True,,,,,
Zm00001eb172590,6,6,6,False,False,False,True,,,,,
Zm00001eb172650,3,3,3,False,False,False,True,,,,,
Zm00001eb172940,2,2,2,False,False,False,True,,,,,
Zm00001eb173100,2,2,2,False,False,False,True,,,,,
Zm00001eb173570,3,2,3,False,False,False,True,,,,,
Zm00001eb174730,3,3,3,False,False,False,True,,,,,
Zm00001eb176200,2,0,2,False,False,False,True,,,,,
Zm00001eb176800,3,3,3,False,False,False,True,,,,,
Zm00001eb178290,2,2,2,False,False,False,True,,,,,
Zm00001eb184540,2,2,2,False,False,False,True,,,,,
Zm00001eb185470,2,2,2,False,False,False,True,,,,,
Zm00001eb187430,3,3,3,False,False,False,True,,,,,
Zm00001eb188220,2,2,2,False,False,False,True,,,,,
Zm00001eb191080,2,2,2,False,False,False,True,,,,,
Zm00001eb191420,3,3,3,False,False,False,True,,,,,
Zm00001eb192420,2,2,2,False,False,False,True,,,,,
Zm00001eb195860,2,2,2,False,False,False,True,,,,,
Zm00001eb196320,2,2,2,False,False,False,True,,,,,
Zm00001eb196930,2,2,2,False,False,False,True,,,,,
Zm00001eb199330,2,2,2,False,False,False,True,,,,,
Zm00001eb200680,2,1,2,True,False,True,True,chr4,209341307.0,-2.0323714213264217,0.0450283574693023,ERF|WRKY
Zm00001eb212150,2,2,2,False,False,False,True,,,,,
Zm00001eb214500,2,2,2,False,False,False,True,,,,,
Zm00001eb217190,2,2,2,False,False,False,True,,,,,
Zm00001eb217290,2,2,2,False,False,False,True,,,,,
Zm00001eb217420,2,2,2,False,False,False,True,,,,,
Zm00001eb219160,2,2,2,False,False,False,True,,,,,
Zm00001eb219750,2,2,2,False,False,False,True,,,,,
Zm00001eb219970,3,3,3,False,False,False,True,,,,,
Zm00001eb221600,2,2,2,False,False,False,True,,,,,
Zm00001eb221970,3,3,3,False,False,False,True,,,,,
Zm00001eb222590,2,2,2,False,False,False,True,,,,,
Zm00001eb224950,2,2,2,False,False,False,True,,,,,
Zm00001eb226820,3,2,3,False,False,False,True,,,,,
Zm00001eb227690,4,4,4,False,False,False,True,,,,,
Zm00001eb227780,5,4,5,False,False,False,True,,,,,
Zm00001eb228570,2,2,2,False,False,False,True,,,,,
Zm00001eb232070,2,2,2,False,False,False,True,,,,,
Zm00001eb233060,7,7,7,False,False,False,True,,,,,
Zm00001eb234970,3,2,3,False,False,False,True,,,,,
Zm00001eb237270,4,4,4,False,False,False,True,,,,,
Zm00001eb239130,2,2,2,False,False,False,True,,,,,
Zm00001eb240100,2,2,2,False,False,False,True,,,,,
Zm00001eb241620,3,3,3,False,False,False,True,,,,,
Zm00001eb244610,2,2,2,False,False,False,True,,,,,
Zm00001eb244960,2,2,2,False,False,False,True,,,,,
Zm00001eb245920,3,3,3,False,False,False,True,,,,,
Zm00001eb246620,2,2,2,False,False,False,True,,,,,
Zm00001eb246810,2,2,2,False,False,False,True,,,,,
Zm00001eb247330,2,2,2,False,False,False,True,,,,,
Zm00001eb248520,3,2,3,False,False,False,True,,,,,
Zm00001eb248700,2,2,2,False,False,False,True,,,,,
Zm00001eb249150,2,2,2,False,False,False,True,,,,,
Zm00001eb250150,3,3,3,False,False,False,True,,,,,
Zm00001eb254350,2,2,2,False,False,False,True,,,,,
Zm00001eb255200,2,2,2,False,False,False,True,,,,,
Zm00001eb256260,2,2,2,False,False,False,True,,,,,
Zm00001eb258440,3,3,3,False,False,False,True,,,,,
Zm00001eb258850,2,2,2,False,False,False,True,,,,,
Zm00001eb259650,4,3,4,False,False,False,True,,,,,
Zm00001eb261240,2,1,2,True,False,True,True,chr6,11825885.0,-1.9476384860138105,0.039548112582254,C2H2|GRAS|TALE
Zm00001eb261890,2,2,2,False,False,False,True,,,,,
Zm00001eb264930,2,2,2,False,False,False,True,,,,,
Zm00001eb270300,3,3,3,False,False,False,True,,,,,
Zm00001eb271860,2,2,2,False,False,False,True,,,,,
Zm00001eb272720,2,2,2,False,False,False,True,,,,,
Zm00001eb273000,2,2,2,False,False,False,True,,,,,
Zm00001eb273020,2,2,2,False,False,False,True,,,,,
Zm00001eb275200,2,2,2,False,False,False,True,,,,,
Zm00001eb275390,3,3,3,False,False,False,True,,,,,
Zm00001eb279150,5,5,5,False,False,False,True,,,,,
Zm00001eb283510,2,2,2,False,False,False,True,,,,,
Zm00001eb285460,2,2,2,False,False,False,True,,,,,
Zm00001eb286730,2,0,2,False,False,False,True,,,,,
Zm00001eb286920,4,4,4,False,False,False,True,,,,,
Zm00001eb287240,2,2,2,False,False,False,True,,,,,
Zm00001eb287400,2,2,2,False,False,False,True,,,,,
Zm00001eb287890,2,2,2,False,False,False,True,,,,,
Zm00001eb291460,2,2,2,False,False,False,True,,,,,
Zm00001eb293480,4,4,4,False,False,False,True,,,,,
Zm00001eb294700,2,2,2,False,False,False,True,,,,,
Zm00001eb295590,3,3,3,False,False,False,True,,,,,
Zm00001eb300060,2,2,2,False,False,False,True,,,,,
Zm00001eb300310,2,1,2,True,False,True,True,chr7,6417899.0,-1.4452425223375966,0.0450283574693023,C2H2|ERF|GATA|MYB|bZIP
Zm00001eb301000,2,2,2,False,False,False,True,,,,,
Zm00001eb301050,3,3,3,False,False,False,True,,,,,
Zm00001eb304610,3,3,3,False,False,False,True,,,,,
Zm00001eb308980,3,3,3,False,False,False,True,,,,,
Zm00001eb309350,3,3,3,False,False,False,True,,,,,
Zm00001eb311860,2,2,2,False,False,False,True,,,,,
Zm00001eb313000,5,4,5,False,False,False,True,,,,,
Zm00001eb313430,3,2,3,False,False,False,True,,,,,
Zm00001eb315020,2,2,2,False,False,False,True,,,,,
Zm00001eb315780,2,2,2,False,False,False,True,,,,,
Zm00001eb317820,2,2,2,False,False,False,True,,,,,
Zm00001eb318210,2,2,2,False,False,False,False,,,,,
Zm00001eb318710,2,2,2,False,False,False,True,,,,,
Zm00001eb319220,6,5,6,False,False,False,True,,,,,
Zm00001eb319670,2,0,2,False,False,False,True,,,,,
Zm00001eb319780,2,1,2,True,False,True,True,chr7,149781339.0,2.8336417222216292,0.0234529107256379,EIL|G2-like|GATA
Zm00001eb320890,3,3,3,False,False,False,True,,,,,
Zm00001eb321030,2,2,2,False,False,False,True,,,,,
Zm00001eb322290,3,3,3,False,False,False,True,,,,,
Zm00001eb324690,2,2,2,False,False,False,True,,,,,
Zm00001eb328760,3,3,3,False,False,False,True,,,,,
Zm00001eb331760,2,2,2,False,False,False,True,,,,,
Zm00001eb332890,2,2,2,False,False,False,True,,,,,
Zm00001eb333970,2,2,2,False,False,False,True,,,,,
Zm00001eb338420,3,3,3,False,False,False,True,,,,,
Zm00001eb338620,3,3,3,False,False,False,True,,,,,
Zm00001eb339040,2,2,2,False,False,False,True,,,,,
Zm00001eb339100,2,2,2,False,False,False,True,,,,,
Zm00001eb340580,3,3,3,False,False,False,True,,,,,
Zm00001eb347190,3,3,3,False,False,False,True,,,,,
Zm00001eb349110,2,1,2,True,False,True,True,chr8,105415374.0,3.8575094327214554,0.0203714572407656,C2H2|Dof|ERF|GRAS|MIKC_MADS|MYB|SBP|TALE
Zm00001eb355670,2,2,2,False,False,False,True,,,,,
Zm00001eb358880,3,3,3,False,False,False,True,,,,,
Zm00001eb360890,2,2,2,False,False,False,True,,,,,
Zm00001eb361030,2,2,2,False,False,False,True,,,,,
Zm00001eb361760,2,2,2,False,False,False,True,,,,,
Zm00001eb364870,2,2,2,False,False,False,True,,,,,
Zm00001eb366020,3,3,3,False,False,False,True,,,,,
Zm00001eb366810,2,2,2,False,False,False,True,,,,,
Zm00001eb367050,2,2,2,False,False,False,True,,,,,
Zm00001eb369030,2,2,2,False,False,False,True,,,,,
Zm00001eb370460,2,2,2,False,False,False,True,,,,,
Zm00001eb373790,2,2,2,False,False,False,True,,,,,
Zm00001eb377970,2,2,2,False,False,False,True,,,,,
Zm00001eb379300,3,3,3,False,False,False,True,,,,,
Zm00001eb380640,2,2,2,False,False,False,True,,,,,
Zm00001eb382290,2,2,2,False,False,False,True,,,,,
Zm00001eb385020,3,3,3,False,False,False,True,,,,,
Zm00001eb385960,6,6,6,False,False,False,True,,,,,
Zm00001eb387010,2,2,2,False,False,False,True,,,,,
Zm00001eb388320,2,2,2,False,False,False,True,,,,,
Zm00001eb391240,3,2,3,False,False,False,True,,,,,
Zm00001eb392890,4,4,4,False,False,False,True,,,,,
Zm00001eb393060,2,2,2,False,False,False,True,,,,,
Zm00001eb393840,2,2,2,False,False,False,True,,,,,
Zm00001eb394490,2,2,2,False,False,False,True,,,,,
Zm00001eb396300,2,2,2,False,False,False,True,,,,,
Zm00001eb396480,2,2,2,False,False,False,True,,,,,
Zm00001eb396490,2,1,2,True,False,True,True,chr9,142705700.0,-2.7217262770420945,0.0226429045486012,ERF|LBD|MYB|TALE
Zm00001eb399140,2,2,2,False,False,False,True,,,,,
Zm00001eb400230,2,2,2,False,False,False,True,,,,,
Zm00001eb400990,2,2,2,False,False,False,True,,,,,
Zm00001eb401890,2,2,2,False,False,False,True,,,,,
Zm00001eb403620,2,2,2,False,False,False,True,,,,,
Zm00001eb404850,3,3,3,False,False,False,True,,,,,
Zm00001eb408790,2,2,2,False,False,False,True,,,,,
Zm00001eb410710,3,2,3,False,False,False,True,,,,,
Zm00001eb415010,3,3,3,False,False,False,True,,,,,
Zm00001eb415410,2,2,2,False,False,False,True,,,,,
Zm00001eb416780,2,2,2,False,False,False,True,,,,,
Zm00001eb417400,2,2,2,False,False,False,True,,,,,
Zm00001eb417790,2,2,2,False,False,False,True,,,,,
Zm00001eb425740,2,2,2,False,False,False,True,,,,,
Zm00001eb426530,2,2,2,False,False,False,True,,,,,
Zm00001eb426690,3,3,3,False,False,False,True,,,,,
Zm00001eb428490,2,2,2,False,False,False,True,,,,,
Zm00001eb430500,2,2,2,False,False,False,True,,,,,
Zm00001eb431120,3,3,3,False,False,False,True,,,,,
Zm00001eb431790,2,2,2,False,False,False,True,,,,,
Zm00001eb432150,2,2,2,False,False,False,True,,,,,
