gene_id,chr,pos,abs_d,cohens_d,description,cog_description,func_category,signaling_layer,all_layers,tf_families,n_families,log2fc_drought,drought_cat,go_biological,kegg_pathway,n_variant_hybrids,n_ref_hybrids
Zm00001eb073610,chr2,17283394,6.02706750847857,6.02706750847857,XP_024318238.1 F-box protein PP2-A13 isoform X2 [Brachypodium distachyon],Phloem protein 2,Unknown,Unknown,Unknown,"LBD,NAC,TALE,bHLH,bZIP",5,-2.359,Strong down,,,6,6
Zm00001eb074030,chr2,19112501,5.03145492976556,-5.03145492976556,XP_004976496.1 lysine histidine transporter-like 8 [Setaria italica],Transmembrane amino acid transporter protein,Unknown,Membrane/Transport,Membrane/Transport,"C2H2,NAC,Trihelix",3,-0.479,Stable,,,5,10
Zm00001eb078890,chr2,36159238,2.040393037676521,-2.040393037676521,XP_002446711.1 ankyrin-3 [Sorghum bicolor],Ankyrin repeats (many copies),Unknown,Unknown,Unknown,MYB,1,1.305,Strong up,,,8,8
Zm00001eb079420,chr2,38576363,5.825883962535814,5.825883962535814,XP_002446676.1 uncharacterized protein LOC8058730 [Sorghum bicolor],Methyltransferase domain,Unknown,Chromatin/Epigenetic,Chromatin/Epigenetic|Metabolism,"ERF,TCP",2,0.455,Stable,,,3,13
Zm00001eb080510,chr2,42789655,4.4901050570846515,-4.4901050570846515,"XP_021318573.1 anthranilate synthase beta subunit 1, chloroplastic-like [Sorghum bicolor]",Peptidase C26,Unknown,Protein Processing,Protein Processing|Metabolism,"C2H2,Dof,MIKC_MADS",3,-1.021,Strong down,,"ko00400,ko00405,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map01100,map01110,map01130,map01230,map02024,map02025",5,10
Zm00001eb081030,chr2,44929408,1.9362284424257552,1.9362284424257552,XP_004975826.1 PLAT domain-containing protein 3 [Setaria italica],PLAT/LH2 domain,Unknown,Signal Transduction,Signal Transduction,"ERF,TALE,TCP",3,1.569,Strong up,,,6,10
Zm00001eb091780,chr2,140544189,2.4401060658236484,2.4401060658236484,XP_002450376.1 V-type proton ATPase 16 kDa proteolipid subunit [Sorghum bicolor],Proton-conducting pore forming subunit of the membrane integral V0 complex of va,Unknown,Unknown,Unknown,"C2H2,ERF",2,1.192,Strong up,,"ko00190,ko01100,ko04142,ko04145,ko04721,ko04966,ko05110,ko05120,ko05152,ko05323,map00190,map01100,map04142,map04145,map04721,map04966,map05110,map05120,map05152,map05323",6,8
Zm00001eb093670,chr2,154488990,2.0751231582939025,-2.0751231582939025,XP_021317511.1 protein SCARECROW [Sorghum bicolor],Belongs to the GRAS family,Unknown,Unknown,Unknown,"C2H2,CPP,MYB",3,-0.68,Stable,,,6,11
Zm00001eb094220,chr2,157667489,3.2553440919204037,-3.2553440919204037,XP_002450102.1 ubiquitin-activating enzyme E1 1 [Sorghum bicolor],Belongs to the ubiquitin-activating E1 family,Unknown,Protein Processing,Protein Processing,NONE,1,0.64,Stable,,"ko04120,ko05012,map04120,map05012",12,7
Zm00001eb101450,chr2,193988864,2.771010529896668,2.771010529896668,XP_021309232.1 putative serine carboxypeptidase-like 23 [Sorghum bicolor],Belongs to the peptidase S10 family,Unknown,Protein Processing,Protein Processing,"C2H2,Dof,M-type_MADS,MIKC_MADS,MYB,NAC",6,-0.744,Stable,,,5,13
Zm00001eb102050,chr2,195634230,2.633437955533686,2.633437955533686,XP_021308234.1 titin homolog [Sorghum bicolor],single fertilization,Unknown,Unknown,Unknown,"C2H2,Dof,ERF,GRAS,M-type_MADS,MIKC_MADS,MYB,Trihelix",8,0.229,Stable,,,10,9
Zm00001eb104710,chr2,205132586,1.991401602261453,-1.991401602261453,XP_021307826.1 mitochondrial amidoxime reducing component 2-like [Sorghum bicolor],MOSC N-terminal beta barrel domain,Unknown,Unknown,Unknown,Trihelix,1,0.954,Stable,,,8,9
Zm00001eb106770,chr2,211536463,2.4188644177408363,2.4188644177408363,"XP_021309466.1 ABC1 family protein YPL109C, mitochondrial-like [Sorghum bicolor]",ABC1 family,Unknown,Unknown,Unknown,"B3,Trihelix",2,0.892,Stable,,,8,5
Zm00001eb108620,chr2,216734256,2.3199534970626376,2.3199534970626376,XP_004960457.1 mitogen-activated protein kinase 14 isoform X1 [Setaria italica],Mitogen-activated protein kinase,Unknown,Signal Transduction,Signal Transduction|Metabolism,C2H2,1,-0.162,Stable,,,12,4
Zm00001eb109880,chr2,219580380,2.6829275490183595,-2.6829275490183595,XP_002463265.1 xylulose kinase [Sorghum bicolor],"FGGY family of carbohydrate kinases, N-terminal domain",Unknown,Signal Transduction,Signal Transduction|Metabolism,"ARF,MYB",2,0.546,Stable,,"ko00040,ko01100,map00040,map01100",4,15
Zm00001eb113870,chr2,231497576,2.662415610472837,-2.662415610472837,XP_002450931.1 maf-like protein DDB_G0281937 isoform X4 [Sorghum bicolor],Maf-like protein,Unknown,Unknown,Unknown,NONE,1,-0.795,Stable,,,11,6
Zm00001eb113900,chr2,231633353,2.2053015643042735,-2.2053015643042735,XP_021316440.1 putative disease resistance protein At1g50180 [Sorghum bicolor],disease resistance protein,Unknown,Unknown,Unknown,NONE,1,0.187,Stable,,,5,10
Zm00001eb115000,chr2,235230798,3.363154782404735,3.363154782404735,XP_002449815.1 ABC transporter F family member 5 [Sorghum bicolor],ABC transporter,Unknown,Membrane/Transport,Membrane/Transport,"G2-like,HD-ZIP,MYB_related",3,0.781,Stable,,,3,15
Zm00001eb117460,chr2,240665648,3.3114651472125205,-3.3114651472125205,XP_002459360.1 putative deoxyribonuclease TATDN1 isoform X1 [Sorghum bicolor],TatD related DNase,Unknown,Unknown,Unknown,"C2H2,MYB",2,0.532,Stable,,,6,12
Zm00001eb123270,chr3,13645592,2.1331547323847975,2.1331547323847975,XP_002455126.1 mini-chromosome maintenance complex-binding protein [Sorghum bicolor],Mini-chromosome maintenance replisome factor,Unknown,Signal Transduction,Signal Transduction,"LFY,MYB,bHLH",3,1.693,Strong up,,,4,9
Zm00001eb124200,chr3,17092334,3.919858817262583,3.919858817262583,XP_002457348.1 putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2 [Sorghum bicolor],Catalyzes the aldol cleavage of 4-hydroxy-4-methyl-2- oxoglutarate (HMG) into 2 ,Unknown,Hormone,Hormone,"G2-like,MIKC_MADS,MYB_related,NAC",4,0.224,Stable,,,8,11
Zm00001eb127420,chr3,34672994,2.8313009384028605,2.8313009384028605,XP_002457566.1 probable transcription factor At3g04930 [Sorghum bicolor],"Protein of unknown function, DUF573",Unknown,Transcription Factor,Transcription Factor,"ERF,G2-like,MIKC_MADS,MYB,MYB_related",5,-0.425,Stable,,,9,6
Zm00001eb138110,chr3,136849723,1.263909830112649,-1.263909830112649,"XP_020570912.1 LOW QUALITY PROTEIN: glycine-rich RNA-binding protein 3, mitochondrial-like [Phalaenopsis equestris]",RNA recognition motif,Unknown,Signal Transduction,Signal Transduction,"MYB,TALE,bHLH",3,0.504,Stable,,"ko03040,map03040",9,5
Zm00001eb144320,chr3,170697399,3.130841108192741,3.130841108192741,XP_002456801.1 uncharacterized protein LOC8056129 isoform X4 [Sorghum bicolor],Protein of unknown function (DUF971),Unknown,Unknown,Unknown,"CPP,G2-like,M-type_MADS,MIKC_MADS,MYB_related,Trihelix,bZIP",7,-1.789,Strong down,,,6,10
Zm00001eb149750,chr3,191054457,3.470762782045816,3.470762782045816,XP_002458679.1 transmembrane protein 56-B [Sorghum bicolor],"TRAM, LAG1 and CLN8 homology domains.",Unknown,Membrane/Transport,Membrane/Transport,"ERF,TCP,bHLH",3,0.09,Stable,,,6,12
Zm00001eb152120,chr3,199143750,3.5931912782003255,3.5931912782003255,nan,nan,Unknown,Unknown,Unknown,NONE,1,0.175,Stable,,,4,14
Zm00001eb153020,chr3,202471379,2.0950216625681706,-2.0950216625681706,XP_002456349.1 uncharacterized protein LOC8075566 isoform X3 [Sorghum bicolor],PDDEXK-like family of unknown function,Unknown,Unknown,Unknown,"EIL,MYB_related",2,0.123,Stable,,,12,5
Zm00001eb153460,chr3,203762192,3.7848065277793816,-3.7848065277793816,XP_002458497.1 3-hydroxyisobutyryl-CoA hydrolase-like protein 5 [Sorghum bicolor],Belongs to the enoyl-CoA hydratase isomerase family,Unknown,Metabolism,Metabolism,"C2H2,MYB",2,0.416,Stable,,"ko00280,ko00410,ko00640,ko01100,ko01200,map00280,map00410,map00640,map01100,map01200",12,4
Zm00001eb153580,chr3,204399824,1.862591488812747,1.862591488812747,XP_021313590.1 uncharacterized protein LOC8062173 isoform X6 [Sorghum bicolor],ATP-dependent protease La (LON) substrate-binding domain,Unknown,Protein Processing,Protein Processing,"MYB,TCP,bHLH",3,0.396,Stable,,,7,11
Zm00001eb153760,chr3,204800583,1.9868312836539712,-1.9868312836539712,XP_004969894.1 profilin-A [Setaria italica],Binds to actin and affects the structure of the cytoskeleton. At high concentrat,Unknown,Unknown,Unknown,"AP2,SBP",2,-2.303,Strong down,,"ko04013,ko04015,ko04810,ko05131,ko05132,map04013,map04015,map04810,map05131,map05132",6,11
Zm00001eb159400,chr3,222949722,1.7755265048836455,1.7755265048836455,XP_002455982.1 kinesin-like protein KIN-13B [Sorghum bicolor],Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family,Unknown,Transcription Factor,Transcription Factor,C2H2,1,-1.004,Strong down,,,14,4
Zm00001eb159550,chr3,223345700,2.041224938227776,-2.041224938227776,XP_002458178.2 uncharacterized protein LOC8084846 isoform X2 [Sorghum bicolor],Glycosyl transferase family 1 protein,Unknown,Metabolism,Metabolism,"ERF,TALE,TCP",3,-0.468,Stable,,,7,11
Zm00001eb161090,chr3,228195173,1.882268508015435,-1.882268508015435,nan,nan,Unknown,Unknown,Unknown,NONE,1,0.445,Stable,,,7,9
Zm00001eb161610,chr3,229581278,1.8960871063937228,1.8960871063937228,XP_004969109.1 chaperone protein dnaJ 6 [Setaria italica],DnaJ domain,Unknown,Protein Processing,Protein Processing,"MYB,MYB_related,Trihelix",3,-0.389,Stable,,,6,11
Zm00001eb163880,chr3,236713284,1.6116800895543422,-1.6116800895543422,XP_004978531.1 non-specific lipid-transfer protein 1 [Setaria italica],Plant non-specific lipid-transfer proteins transfer phospholipids as well as gal,Unknown,Unknown,Unknown,Dof,1,1.22,Strong up,,,3,13
Zm00001eb173230,chr4,38328395,3.241273396577517,-3.241273396577517,XP_021320645.1 uncharacterized protein LOC8066142 [Sorghum bicolor],Snapin/Pallidin,Unknown,Unknown,Unknown,"CPP,HSF",2,0.07,Stable,,,7,10
Zm00001eb184420,chr4,140997057,1.9690909751485175,-1.9690909751485175,XP_021314923.1 uncharacterized protein LOC110434669 [Sorghum bicolor],tRNA (adenine-N6-)-methyltransferase activity,Unknown,Chromatin/Epigenetic,Chromatin/Epigenetic|Translation|Metabolism,"CAMTA,HD-ZIP,TALE",3,-0.332,Stable,,,12,6
Zm00001eb191640,chr4,177063328,1.9085448636469893,1.9085448636469893,nan,nan,Unknown,Unknown,Unknown,NONE,1,-0.075,Stable,,,6,11
Zm00001eb192630,chr4,179998271,2.0988799051206235,2.0988799051206235,XP_002452962.1 T-complex protein 1 subunit alpha [Sorghum bicolor],assists the folding of proteins upon ATP hydrolysis,Unknown,Protein Processing,Protein Processing,"ERF,SBP,TALE",3,0.417,Stable,,,5,11
Zm00001eb203840,chr4,230230774,2.021757317443369,2.021757317443369,XP_004951269.1 BTB/POZ domain-containing protein POB1 isoform X2 [Setaria italica],domain-containing protein,Unknown,Signal Transduction,Signal Transduction,NONE,1,0.858,Stable,,,10,5
Zm00001eb207970,chr4,246091770,1.0557784988231242,1.0557784988231242,nan,nan,Unknown,Unknown,Unknown,"CPP,MYB_related,NAC",3,0.343,Stable,,,8,9
Zm00001eb209100,chr4,248093954,2.161064757111342,2.161064757111342,XP_021315999.1 phosphatidylinositol/phosphatidylcholine transfer protein SFH6 isoform X2 [Sorghum bicolor],CRAL/TRIO domain,Unknown,Second Messenger,Second Messenger,"C2H2,CPP,HD-ZIP,LBD,Trihelix",5,0.225,Stable,,"ko03050,map03050",5,12
Zm00001eb213050,chr5,4631545,2.251004547954921,2.251004547954921,XP_004981444.1 uncharacterized protein LOC101773895 [Setaria italica],nan,Unknown,Unknown,Unknown,"C2H2,HD-ZIP,M-type_MADS",3,0.552,Stable,,,13,5
Zm00001eb214630,chr5,7313087,3.4581827083427767,-3.4581827083427767,XP_002463860.1 LRR receptor-like serine/threonine-protein kinase RPK2 [Sorghum bicolor],Belongs to the protein kinase superfamily. Ser Thr protein kinase family,Unknown,Receptor/Sensor,Receptor/Sensor|Signal Transduction|Transcription Factor|Metabolism,NONE,1,0.46,Stable,,,4,14
Zm00001eb216260,chr5,11366019,1.9821950667001171,-1.9821950667001171,"XP_002466576.1 phosphoglucomutase, cytoplasmic 2 [Sorghum bicolor]",Belongs to the phosphohexose mutase family,Unknown,Unknown,Unknown,"NAC,Nin-like",2,-0.591,Stable,,"ko00010,ko00030,ko00052,ko00230,ko00500,ko00520,ko00521,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00052,map00230,map00500,map00520,map00521,map01100,map01110,map01120,map01130",10,8
Zm00001eb217870,chr5,15259532,3.923326174257188,3.923326174257188,nan,nan,Unknown,Unknown,Unknown,"G2-like,HSF,LBD,MYB_related,TALE",5,0.542,Stable,,,11,7
Zm00001eb218270,chr5,16163710,1.4031557575826,1.4031557575826,"XP_003561615.1 protein PHOTOSYSTEM I ASSEMBLY 2, chloroplastic isoform X1 [Brachypodium distachyon]",DnaJ Hsp40 cysteine-rich domain superfamily protein,Unknown,Protein Processing,Protein Processing|Transcription Factor,NAC,1,-1.315,Strong down,,,9,10
Zm00001eb219260,chr5,19678594,2.4181354041796936,2.4181354041796936,XP_002464259.1 peptidyl-prolyl cis-trans isomerase E [Sorghum bicolor],"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",Unknown,Metabolism,Metabolism,ERF,1,1.471,Strong up,,"ko03040,map03040",9,5
Zm00001eb223240,chr5,36348038,4.424017322842078,-4.424017322842078,XP_004983151.1 cyclic dof factor 1 [Setaria italica],"Dof domain, zinc finger",Unknown,Transcription Factor,Transcription Factor,"C2H2,Dof,GRAS,MIKC_MADS,TALE",5,-0.046,Stable,,"ko04712,map04712",3,13
Zm00001eb227820,chr5,62145381,2.282344077627493,2.282344077627493,XP_021305660.1 uncharacterized protein LOC8065616 isoform X2 [Sorghum bicolor],nan,Unknown,Unknown,Unknown,"ARF,C2H2,LBD,TALE",4,0.493,Stable,,,4,13
Zm00001eb228660,chr5,66029051,1.667096797464452,-1.667096797464452,XP_002437637.1 epidermal growth factor receptor substrate 15-like 1 isoform X1 [Sorghum bicolor],Eps15 homology domain,Unknown,Receptor/Sensor,Receptor/Sensor,"ERF,TALE",2,0.437,Stable,,"ko04144,map04144",8,11
Zm00001eb233850,chr5,92095945,1.9864140091878009,1.9864140091878009,XP_021315406.1 RING-H2 finger protein ATL56 [Sorghum bicolor],RING-like zinc finger,Unknown,Transcription Factor,Transcription Factor,"CPP,EIL,G2-like,GATA,HD-ZIP,M-type_MADS,MYB,WOX,YABBY",9,0.364,Stable,,,12,6
Zm00001eb238000,chr5,142502511,2.1498615631079714,-2.1498615631079714,XP_004951275.1 hornerin [Setaria italica],nan,Unknown,Unknown,Unknown,NONE,1,-0.072,Stable,,,11,6
Zm00001eb241520,chr5,166109809,2.556548502981683,2.556548502981683,XP_021314048.1 uncharacterized protein LOC8056066 isoform X1 [Sorghum bicolor],Protein of unknown function (DUF563),Unknown,Unknown,Unknown,"MYB,MYB_related",2,1.031,Strong up,,,4,14
Zm00001eb241810,chr5,167284817,2.3548519731405695,-2.3548519731405695,"XP_004952560.1 acetolactate synthase 1, chloroplastic [Setaria italica]",acetolactate synthase activity,Unknown,Metabolism,Metabolism,"ARF,B3,ERF,NAC,TALE,TCP,bZIP",7,-0.34,Stable,,"ko00290,ko00650,ko00660,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00650,map00660,map00770,map01100,map01110,map01130,map01210,map01230",16,3
Zm00001eb241920,chr5,168023778,1.2653464595362245,-1.2653464595362245,"XP_002452163.1 glycerophosphodiester phosphodiesterase GDPD1, chloroplastic [Sorghum bicolor]",Glycerophosphoryl diester phosphodiesterase family,Unknown,Unknown,Unknown,"G2-like,HSF,LBD,MYB_related",4,-1.643,Strong down,,"ko00564,map00564",6,13
Zm00001eb257390,chr5,221117231,2.3146076263908677,2.3146076263908677,XP_021901879.1 hsp70-Hsp90 organizing protein 1-like [Carica papaya],Tetratricopeptide repeats,Unknown,Signal Transduction,Signal Transduction|Protein Processing,"CAMTA,CPP,NAC",3,0.022,Stable,,"ko05020,map05020",5,8
Zm00001eb259140,chr5,224510508,1.6340462164675218,1.6340462164675218,XP_002454796.1 uncharacterized protein LOC8055324 [Sorghum bicolor],nan,Unknown,Unknown,Unknown,"MYB_related,TCP,Trihelix",3,0.489,Stable,,,13,5
