chr,pos,gene_id,abs_d,peak_width_smallest,peak_width_median,n_hybrids_with_peak,total_motifs_in_peak,n_families_in_peak,motifs_at_variant,n_fam_at_variant,min_redundancy_in_peak
chr1,277129800,Zm00001eb055720,2.346077363192974,199,269.0,5,73,19,6,5,2
chr1,281863688,Zm00001eb056930,1.8450745007643008,200,246.0,24,106,21,26,12,1
chr1,287900267,Zm00001eb058750,2.289258328627231,284,287.0,2,112,22,5,3,4
chr1,303833607,Zm00001eb064000,2.7193341663871995,88,164.0,25,27,8,19,3,1
chr1,304254031,Zm00001eb064190,3.4095005292035405,150,169.5,2,49,14,15,6,1
chr1,304701394,Zm00001eb064350,2.4350892059607414,64,116.0,21,15,10,12,8,1
chr1,305701303,Zm00001eb064670,2.9504195754854488,60,168.5,20,14,8,10,6,1
chr1,306411699,Zm00001eb064930,4.1461282108010815,123,174.0,25,69,12,15,5,1
chr2,17283394,Zm00001eb073610,6.02706750847857,173,266.0,25,83,20,31,10,1
chr2,19112501,Zm00001eb074030,5.03145492976556,150,221.0,24,51,19,19,10,1
chr2,36159238,Zm00001eb078890,2.040393037676521,180,295.0,25,49,13,19,4,2
chr2,38576363,Zm00001eb079420,5.825883962535814,127,193.0,25,57,17,11,5,1
chr2,42789655,Zm00001eb080510,4.4901050570846515,295,673.0,24,141,21,22,7,2
chr2,44929408,Zm00001eb081030,1.9362284424257552,197,223.0,25,85,17,25,9,1
chr2,140544189,Zm00001eb091780,2.4401060658236484,173,230.0,25,50,17,22,13,1
chr2,154488990,Zm00001eb093670,2.0751231582939025,63,63.0,1,18,10,15,9,1
chr2,157667489,Zm00001eb094220,3.2553440919204037,156,196.0,25,54,19,12,7,1
chr2,193988864,Zm00001eb101450,2.771010529896668,300,375.0,11,133,23,11,6,1
chr2,195634230,Zm00001eb102050,2.633437955533686,214,430.0,17,105,22,37,11,1
chr2,205132586,Zm00001eb104710,1.991401602261453,58,134.0,5,13,7,7,6,1
chr2,211536463,Zm00001eb106770,2.4188644177408363,64,603.5,14,17,10,11,8,1
chr2,216734256,Zm00001eb108620,2.3199534970626376,612,706.0,25,337,28,5,2,6
chr2,219580380,Zm00001eb109880,2.6829275490183595,116,122.0,4,19,11,6,5,1
chr2,231497576,Zm00001eb113870,2.662415610472837,162,403.0,25,34,16,7,2,1
chr2,231633353,Zm00001eb113900,2.2053015643042735,337,365.0,8,138,23,5,3,3
chr2,235230798,Zm00001eb115000,3.363154782404735,382,488.0,25,164,24,18,7,1
chr2,240665648,Zm00001eb117460,3.3114651472125205,185,340.0,23,74,12,11,4,7
chr3,13645592,Zm00001eb123270,2.1331547323847975,343,519.0,25,147,24,8,4,1
chr3,17092334,Zm00001eb124200,3.919858817262583,236,425.0,25,110,23,29,11,1
chr3,34672994,Zm00001eb127420,2.8313009384028605,60,187.0,15,15,9,13,7,1
chr3,136849723,Zm00001eb138110,1.263909830112649,65,92.5,10,42,7,22,5,2
chr3,170697399,Zm00001eb144320,3.130841108192741,564,688.0,25,159,29,33,14,2
chr3,191054457,Zm00001eb149750,3.470762782045816,304,423.0,25,134,22,27,11,1
chr3,199143750,Zm00001eb152120,3.5931912782003255,302,435.0,24,123,23,9,5,1
chr3,202471379,Zm00001eb153020,2.0950216625681706,62,250.0,18,8,6,4,3,1
chr3,203762192,Zm00001eb153460,3.7848065277793816,120,198.0,11,41,12,3,2,1
chr3,204399824,Zm00001eb153580,1.862591488812747,60,111.5,6,14,8,13,7,1
chr3,204800583,Zm00001eb153760,1.9868312836539712,63,191.0,11,12,5,12,5,1
chr3,222949722,Zm00001eb159400,1.7755265048836455,122,301.0,25,28,12,7,4,1
chr3,223345700,Zm00001eb159550,2.041224938227776,166,306.5,20,46,15,7,4,2
chr3,228195173,Zm00001eb161090,1.882268508015435,589,610.5,8,209,27,9,3,3
chr3,229581278,Zm00001eb161610,1.8960871063937228,482,577.0,25,245,28,13,8,2
chr3,236713284,Zm00001eb163880,1.6116800895543422,116,297.5,22,49,11,0,0,0
chr4,38328395,Zm00001eb173230,3.241273396577517,423,440.5,2,153,29,18,10,1
chr4,140997057,Zm00001eb184420,1.9690909751485175,353,790.0,18,165,24,10,6,3
chr4,177063328,Zm00001eb191640,1.9085448636469893,88,200.0,10,15,8,8,6,1
chr4,179998271,Zm00001eb192630,2.0988799051206235,141,141.0,1,44,19,12,8,1
chr4,230230774,Zm00001eb203840,2.021757317443369,60,205.0,8,5,4,2,2,1
chr4,246091770,Zm00001eb207970,1.0557784988231242,76,92.5,6,47,12,6,5,1
chr4,248093954,Zm00001eb209100,2.161064757111342,295,388.0,25,157,26,13,6,1
chr5,4631545,Zm00001eb213050,2.251004547954921,64,120.0,19,13,7,4,2,1
chr5,7313087,Zm00001eb214630,3.4581827083427767,250,432.0,22,96,21,10,6,1
chr5,11366019,Zm00001eb216260,1.9821950667001171,161,198.0,11,66,13,1,1,9
chr5,15259532,Zm00001eb217870,3.923326174257188,149,245.0,25,59,15,13,8,1
chr5,16163710,Zm00001eb218270,1.4031557575826,65,182.0,18,8,6,8,6,1
chr5,19678594,Zm00001eb219260,2.4181354041796936,60,124.5,10,33,10,17,5,1
chr5,36348038,Zm00001eb223240,4.424017322842078,113,113.0,1,97,13,80,8,1
chr5,62145381,Zm00001eb227820,2.282344077627493,139,165.0,25,55,15,16,10,1
chr5,66029051,Zm00001eb228660,1.667096797464452,111,135.0,15,42,14,21,3,1
chr5,92095945,Zm00001eb233850,1.9864140091878009,60,182.0,7,29,14,22,10,1
chr5,142502511,Zm00001eb238000,2.1498615631079714,572,674.0,25,331,26,5,4,4
chr5,166109809,Zm00001eb241520,2.556548502981683,134,366.0,15,81,18,6,5,1
chr5,167284817,Zm00001eb241810,2.3548519731405695,371,456.0,25,193,25,63,9,4
chr5,168023778,Zm00001eb241920,1.2653464595362245,175,254.0,25,94,20,32,9,1
chr5,221117231,Zm00001eb257390,2.3146076263908677,92,634.0,10,28,12,15,7,1
chr5,224510508,Zm00001eb259140,1.6340462164675218,106,202.0,4,54,12,26,7,1
chr6,50584394,Zm00001eb267380,4.525144469814204,262,602.0,25,193,21,2,2,1
chr6,71518134,Zm00001eb269310,2.1641728756155523,339,501.0,15,171,24,12,9,1
chr6,82204827,Zm00001eb270660,2.357363701868566,189,208.0,25,38,14,6,6,1
chr6,117591379,Zm00001eb278070,1.5037420375863468,318,464.0,25,185,29,18,8,2
chr6,138884889,Zm00001eb282960,1.343075589730851,221,233.0,10,91,18,9,6,1
chr6,156454369,Zm00001eb287610,3.203902110132901,62,610.0,25,12,5,1,1,1
chr6,158295494,Zm00001eb288130,2.150577722344607,219,436.0,25,98,22,27,7,2
chr6,162420882,Zm00001eb289530,2.2084959121108656,204,298.0,25,89,26,12,5,1
chr6,171169950,Zm00001eb293310,2.6627355488071776,130,194.0,22,86,16,35,8,1
chr6,174632784,Zm00001eb295120,1.8619740594255063,58,476.0,25,22,9,18,7,1
chr6,174715533,Zm00001eb295170,1.8153955865546871,492,571.0,23,221,25,10,4,6
chr7,10735160,Zm00001eb301490,1.9410855150564548,377,428.0,25,162,28,22,11,1
chr7,89397106,Zm00001eb309560,3.520578909038956,104,129.0,12,86,12,5,4,1
chr7,131670304,Zm00001eb315000,2.7010650497920357,484,984.0,16,185,27,10,6,2
chr7,136093429,Zm00001eb316080,1.9045320392958296,134,163.0,17,64,13,1,1,3
chr7,138416698,Zm00001eb316700,3.1490789213321686,417,426.0,10,174,27,16,7,1
chr7,143100402,Zm00001eb317810,2.763468427589063,260,318.5,24,74,19,14,7,1
chr7,152271809,Zm00001eb320580,2.132742940570341,366,767.0,25,227,22,22,7,3
chr7,154612148,Zm00001eb321330,2.1201122687053937,160,208.0,25,90,20,46,15,1
chr7,161258452,Zm00001eb322430,1.820101042836913,323,442.0,25,110,20,31,11,1
chr7,162616610,Zm00001eb322850,2.258611268748007,78,301.0,24,19,9,1,1,1
chr7,162807470,Zm00001eb322940,1.6639237476891189,58,58.0,3,23,10,5,5,1
chr7,166654451,Zm00001eb324270,2.854351666684522,171,314.5,24,105,16,41,8,1
chr7,170356482,Zm00001eb325750,1.9537764372555293,61,99.5,2,27,5,27,5,1
chr7,175487307,Zm00001eb327790,1.5809303343430303,321,321.0,1,90,20,15,9,1
chr7,180169307,Zm00001eb329780,2.548671317761873,181,645.0,22,55,17,22,12,1
chr7,184734845,Zm00001eb331960,7.313591831593177,418,431.0,25,113,23,12,7,3
chr8,3885807,Zm00001eb333100,1.9944068305931155,91,367.5,22,23,11,4,4,1
chr8,13195128,Zm00001eb335350,2.1145856324838888,182,303.5,20,88,23,27,10,1
chr8,14008624,Zm00001eb335640,2.086773530985622,187,315.0,24,114,21,29,7,1
chr8,16571666,Zm00001eb336310,2.0356181013936263,473,693.0,25,179,31,11,7,2
chr8,29624422,Zm00001eb339310,1.8100285930152655,67,442.5,24,18,9,8,6,1
chr8,69576856,Zm00001eb343490,2.5924416296542545,220,476.0,25,64,20,18,6,1
chr8,74212102,Zm00001eb344340,2.3683562503991604,99,237.5,16,18,11,4,2,1
chr8,138992533,Zm00001eb356280,2.668331204954375,383,481.5,14,165,28,24,6,1
chr8,146144410,Zm00001eb357970,2.293064242532769,671,671.0,1,274,28,21,8,1
chr8,154494525,Zm00001eb360250,2.1140533884354262,154,707.0,19,40,17,16,9,1
chr8,154506381,Zm00001eb360260,2.5420296378071634,370,449.0,11,108,21,0,0,0
chr8,154951178,Zm00001eb360390,1.8816870182450085,96,166.0,23,22,9,4,4,1
chr8,171206073,Zm00001eb365940,2.272348125964605,229,372.0,25,131,24,50,11,1
chr8,171368481,Zm00001eb366050,2.5632794191115544,105,169.0,5,48,12,23,6,1
chr8,179616196,Zm00001eb370290,1.07472545154466,264,527.0,25,122,22,21,8,2
chr8,180764165,Zm00001eb370850,2.325544764162936,364,440.0,23,156,22,6,4,3
chr8,181730167,Zm00001eb371200,2.5344946963916644,384,512.0,25,174,22,14,7,2
chr9,10774790,Zm00001eb373580,1.6602529183513337,216,526.0,25,86,21,7,6,2
chr9,13058820,Zm00001eb374160,2.633921684721882,342,401.5,22,147,25,34,11,1
chr9,22676829,Zm00001eb377470,3.041410938030894,70,200.0,18,33,9,20,7,1
chr9,27588012,Zm00001eb378810,3.006792439729751,248,448.0,25,92,21,18,2,5
chr9,34000550,Zm00001eb379950,2.0105873563987866,563,601.0,25,256,27,8,6,2
chr9,46397613,Zm00001eb381470,2.0357283788875327,169,227.0,23,101,20,15,4,1
chr9,74126238,Zm00001eb384110,2.728481723734669,170,252.0,19,56,18,19,8,2
chr9,88034220,Zm00001eb385450,2.048481055420191,431,573.0,5,217,28,11,8,1
chr9,94270267,Zm00001eb386220,2.353208614460676,91,156.0,5,27,11,2,2,1
chr9,99581548,Zm00001eb387030,1.5148667115096182,91,127.0,7,39,14,16,8,1
chr9,131018319,Zm00001eb393660,4.155709293425091,157,198.0,13,31,13,12,6,1
chr9,139156708,Zm00001eb395470,3.936818185586951,120,219.0,24,47,16,17,7,1
chr9,141202033,Zm00001eb396060,2.8374729660761338,227,319.0,25,76,18,8,5,1
chr9,142860542,Zm00001eb396520,2.252981731306229,376,537.0,25,209,26,26,8,1
chr9,144227434,Zm00001eb397090,4.221908761750404,115,182.0,25,54,12,12,6,1
chr9,148791435,Zm00001eb398630,3.167548745015788,131,182.0,24,53,16,4,4,1
chr9,161194925,Zm00001eb404310,3.950054024266257,247,381.5,24,85,21,31,12,1
chr10,2006861,Zm00001eb405450,5.308221308528998,155,254.0,25,60,17,9,8,1
chr10,3735892,Zm00001eb406080,2.7982092159957124,291,439.0,24,132,24,4,4,5
chr10,5111246,Zm00001eb406760,1.9719257867445232,282,336.0,22,96,24,6,5,4
chr10,6211300,Zm00001eb407090,1.703172273664204,605,671.5,16,246,26,16,5,4
chr10,7903301,Zm00001eb407550,2.233745774212639,382,586.0,25,180,28,13,10,3
chr10,8604729,Zm00001eb407680,2.3016985233742973,135,186.0,9,32,13,7,6,1
chr10,64753637,Zm00001eb413740,2.411421748480584,174,248.0,25,55,15,6,2,7
chr10,73843917,Zm00001eb414970,5.292211561347937,94,125.5,10,31,14,13,7,1
chr10,78959457,Zm00001eb415700,1.910872253891431,89,344.5,22,16,8,5,3,1
chr10,81353777,Zm00001eb416110,2.0762577909849704,77,188.0,4,27,11,6,4,2
chr10,85117108,Zm00001eb416770,2.007903871939698,351,416.0,20,126,25,12,5,1
chr10,92089742,Zm00001eb418090,2.353892134412911,365,623.0,25,132,20,8,4,2
chr10,97534549,Zm00001eb418940,2.012100027216712,111,284.0,24,24,11,7,3,2
chr10,98908136,Zm00001eb419200,2.0258059361051934,61,129.5,12,28,9,24,6,1
chr10,128801642,Zm00001eb425180,3.1339485522332793,115,400.5,22,51,12,4,3,1
chr10,129870575,Zm00001eb425580,1.359398667383342,87,344.0,24,32,12,3,2,2
chr10,130088323,Zm00001eb425660,2.1890268340701353,62,172.0,13,13,5,7,2,2
chr10,131065925,Zm00001eb425960,2.588903946380261,179,294.0,22,94,19,10,7,1
chr10,131196529,Zm00001eb425980,1.682304387969365,63,118.0,7,25,9,16,6,1
chr10,135806526,Zm00001eb427480,1.7246015035091242,72,127.5,22,6,5,2,2,1
chr10,142142497,Zm00001eb429910,2.7576048593546143,282,336.0,7,60,19,5,3,4
chr10,145438301,Zm00001eb431330,3.4188105289396575,183,246.0,25,87,17,18,11,1
chr1,3262750,Zm00001eb000920,1.008744758576002,430,620.5,24,236,27,14,4,5
chr1,3789618,Zm00001eb001150,2.0803573236363664,442,1091.0,25,222,22,10,4,4
chr1,4078949,Zm00001eb001340,3.0172447030203235,124,275.0,19,64,15,11,7,1
chr1,5896996,Zm00001eb002060,3.089173372090931,135,171.0,25,31,14,9,4,2
chr1,6246228,Zm00001eb002200,1.831745903607489,169,631.0,6,55,21,8,6,2
chr1,12270743,Zm00001eb004440,2.237456691760147,421,628.0,25,187,24,14,6,9
chr1,16845468,Zm00001eb005920,3.900235613086104,98,289.0,24,25,12,14,7,1
chr1,17983879,Zm00001eb006410,2.2701140403215683,167,329.0,25,106,20,41,10,1
chr1,19882546,Zm00001eb006880,1.6360159962413543,372,489.0,25,175,27,14,7,4
chr1,30883530,Zm00001eb009870,2.263909599998336,63,156.0,9,20,9,14,6,1
chr1,32844672,Zm00001eb010370,2.252685603445886,59,269.0,17,9,7,6,5,1
chr1,34330835,Zm00001eb010730,1.524366505225603,1207,1207.0,1,713,32,15,9,7
chr1,34878903,Zm00001eb010900,3.0203014131688506,181,448.0,25,96,17,6,4,1
chr1,36186619,Zm00001eb011240,1.5296868605696086,247,496.0,25,102,23,12,9,1
chr1,37980846,Zm00001eb011630,2.3673147899655183,463,674.0,3,223,25,16,8,2
chr1,41377778,Zm00001eb012570,3.1836539394163976,162,211.0,5,91,17,9,5,1
chr1,42980657,Zm00001eb012950,2.072267985348476,130,156.5,2,33,18,7,5,1
chr1,44344832,Zm00001eb013300,1.6498308938673911,84,223.0,19,35,12,16,11,1
chr1,48970900,Zm00001eb014600,1.7351969075308251,153,235.0,25,62,19,17,5,1
chr1,57058153,Zm00001eb016330,2.6286276750149615,74,488.0,16,53,10,41,8,1
chr1,59904185,Zm00001eb016800,1.3864165469043874,143,355.0,17,39,15,22,10,1
chr1,60926702,Zm00001eb017050,1.1137561866149133,66,200.0,24,22,9,18,7,1
chr1,68998584,Zm00001eb019230,4.5395507311740175,194,503.0,25,82,21,36,11,1
chr1,69764971,Zm00001eb019370,2.5685487774525666,361,810.0,25,153,26,13,3,13
chr1,72171126,Zm00001eb019800,2.0850946858589463,181,257.0,20,77,23,7,6,1
chr1,74030656,Zm00001eb020110,2.288149136505908,188,304.0,25,100,20,19,7,1
chr1,77561196,Zm00001eb020690,4.470013059440195,159,435.0,25,83,21,21,9,1
chr1,83001127,Zm00001eb021800,2.653164141231232,60,134.0,23,8,4,8,4,1
chr1,84277355,Zm00001eb022040,2.999940321939209,199,366.0,19,108,24,20,8,1
chr1,86777664,Zm00001eb022580,3.6209706774235326,108,191.0,8,34,9,8,4,2
chr1,87656463,Zm00001eb022750,1.3956871185277226,446,556.0,25,148,25,23,6,7
chr1,90313646,Zm00001eb023130,2.1932050567132197,63,131.0,3,14,10,8,5,1
chr1,91377437,Zm00001eb023220,2.27054529992127,60,202.0,23,15,9,9,6,1
chr1,92292812,Zm00001eb023350,2.1033119242741045,353,812.0,25,251,24,38,10,1
chr1,97701896,Zm00001eb024120,2.302558477026654,245,288.0,16,125,21,3,3,2
chr1,108502297,Zm00001eb025400,2.50297585963056,96,288.5,20,74,18,20,4,1
chr1,122210678,Zm00001eb026550,4.060818333122903,449,535.0,25,301,27,19,9,1
chr1,126913502,Zm00001eb026930,2.116487974353716,190,234.0,24,43,19,1,1,1
chr1,170618556,Zm00001eb030710,3.170737524891494,152,439.0,14,41,12,10,4,1
chr1,177309045,Zm00001eb031670,2.7747387468313107,134,134.0,1,57,12,17,4,1
chr1,180161163,Zm00001eb032230,1.7113240355174346,63,111.0,23,48,14,37,12,1
chr1,183958880,Zm00001eb032890,2.1225593337323754,250,294.0,16,181,21,16,5,3
chr1,184439096,Zm00001eb033050,3.3385292973275944,379,427.0,22,198,29,18,10,1
chr1,184907626,Zm00001eb033220,2.4420295470223596,594,814.0,23,265,25,13,7,4
chr1,192290364,Zm00001eb034990,3.154118781316213,515,959.0,25,233,28,31,10,1
chr1,198167984,Zm00001eb036550,3.589115459714462,480,590.5,22,205,28,7,4,4
chr1,199461418,Zm00001eb036910,2.11257112829817,175,292.0,22,113,17,16,5,1
chr1,200570121,Zm00001eb037210,2.443463835576049,139,204.0,5,102,13,16,5,2
chr1,206116074,Zm00001eb038600,2.2044341204611366,63,139.5,10,21,7,19,6,1
chr1,206226148,Zm00001eb038640,1.6017144404374195,59,139.0,25,8,6,2,2,1
chr1,209881617,Zm00001eb039610,5.018659294750796,145,252.0,10,49,16,13,5,1
chr1,210024968,Zm00001eb039620,2.8626669109014293,197,263.0,21,87,20,11,4,1
chr1,219667307,Zm00001eb041750,3.2547150798762554,161,221.0,24,77,17,5,5,2
chr1,220331322,Zm00001eb041880,4.27083902359084,58,214.5,16,43,4,42,4,1
chr1,228006396,Zm00001eb043310,9.946821826323156,156,164.0,8,55,17,14,5,1
chr1,234060687,Zm00001eb044910,2.1490725006497247,83,235.5,18,26,11,3,2,1
chr1,234172152,Zm00001eb044970,2.283194705250409,437,719.0,16,303,29,23,9,3
chr1,241110893,Zm00001eb046750,2.221385354874377,82,231.0,22,30,8,3,1,4
chr1,241539557,Zm00001eb046960,1.4931449668293355,58,393.5,16,15,8,13,6,1
chr1,245361730,Zm00001eb047770,7.1755794559533985,65,236.5,14,17,9,15,8,1
chr1,248596857,Zm00001eb048390,5.293251429718321,104,162.0,18,38,18,16,9,1
chr1,250455723,Zm00001eb048710,3.3080792392493015,121,197.0,5,33,13,10,5,1
chr1,254679914,Zm00001eb049880,2.0255071593635225,114,326.0,21,24,8,3,3,1
chr1,254745792,Zm00001eb049920,1.4840239648110298,161,161.0,1,82,22,19,13,1
chr1,256721763,Zm00001eb050350,2.967144294346598,123,301.0,25,35,15,9,7,1
chr1,263870101,Zm00001eb052110,2.124106917694363,119,147.0,17,30,10,5,4,1
chr1,274494877,Zm00001eb055010,2.350013218095232,246,278.0,25,82,18,11,7,1
chr1,275076946,Zm00001eb055170,3.0545487766710915,181,231.0,25,78,17,13,4,3
chr1,276650852,Zm00001eb055620,3.0840355488625844,144,144.0,1,81,18,25,9,2
chr1,278826136,Zm00001eb056030,2.1339360185778684,62,182.5,20,20,11,8,6,1
chr1,282764868,Zm00001eb057160,1.9297323311764496,58,113.0,11,22,9,12,8,1
chr1,292328009,Zm00001eb059970,3.75243387349988,109,113.5,4,56,10,10,5,2
chr1,293484526,Zm00001eb060330,1.7107850348014724,237,467.0,25,73,19,16,7,1
chr1,293674250,Zm00001eb060410,2.382455404355214,144,182.0,25,41,13,16,7,1
chr1,294630742,Zm00001eb060730,3.766490117317838,283,519.0,25,71,18,13,6,1
chr1,296607704,Zm00001eb061370,2.515980070847814,155,263.0,25,31,12,3,2,4
chr1,297171952,Zm00001eb061520,1.69168016277512,133,229.0,23,47,16,13,5,2
chr1,297567154,Zm00001eb061760,2.2616050530421106,223,496.0,25,62,23,3,2,5
chr1,297821539,Zm00001eb061820,1.8927238208995572,269,388.0,25,78,21,4,3,2
chr1,297954395,Zm00001eb061860,1.9645315002438188,101,301.5,24,29,12,12,7,2
chr1,298119374,Zm00001eb061940,2.011460116416276,239,299.0,25,94,23,46,11,1
chr1,299161158,Zm00001eb062220,1.556245220513922,131,186.5,12,45,17,12,6,1
chr1,302187930,Zm00001eb063300,1.6836412220269683,163,461.5,24,75,17,12,6,2
chr1,306610697,Zm00001eb065000,3.849499542569564,206,356.0,25,119,23,37,15,1
chr2,6413681,Zm00001eb068910,2.9487015875250875,330,408.0,14,164,23,12,5,5
chr2,11570568,Zm00001eb071290,2.1910098163731746,106,160.0,22,27,10,4,3,1
chr2,11669559,Zm00001eb071360,2.2096785542951864,189,330.0,24,43,14,4,4,1
chr2,15238401,Zm00001eb072790,2.599665427912612,157,241.0,24,30,14,9,4,1
chr2,18375896,Zm00001eb073810,2.74040437964149,388,505.0,17,175,28,39,6,4
chr2,50978303,Zm00001eb082480,2.112619935604266,227,832.0,21,78,16,14,4,3
chr2,66222254,Zm00001eb084920,2.3696942297445207,306,392.0,25,148,23,25,8,1
chr2,84666680,Zm00001eb086540,5.451041171360822,175,175.0,1,87,21,19,9,2
chr2,91262529,Zm00001eb087050,1.7993221358770537,343,441.0,23,96,24,9,7,1
chr2,115957364,Zm00001eb089390,1.929141988092667,228,599.0,23,110,23,26,10,1
chr2,127623788,Zm00001eb090620,2.2895812390196606,321,353.0,24,101,21,4,3,2
chr2,129787929,Zm00001eb090730,2.2002636420852406,161,301.0,21,55,15,4,3,2
chr2,134943378,Zm00001eb091250,3.9303940206049,158,273.0,21,70,18,8,4,2
chr2,137218069,Zm00001eb091420,1.5741093788501044,58,68.5,16,17,5,11,3,3
chr2,149291040,Zm00001eb092900,3.683282732956356,270,399.0,25,95,22,10,7,1
chr2,150353833,Zm00001eb093120,4.107570323715804,338,478.0,25,167,24,29,8,1
chr2,157709917,Zm00001eb094240,2.7660951915360297,142,255.0,25,88,17,27,9,1
chr2,159164367,Zm00001eb094480,2.6400627341813325,424,757.0,25,190,26,18,6,3
chr2,159636350,Zm00001eb094520,1.8043074544860256,60,125.0,16,26,11,24,10,1
chr2,160906572,Zm00001eb094610,1.9148125674673215,130,242.5,16,49,16,16,5,1
chr2,165512139,Zm00001eb095350,1.7922653212566346,58,348.0,11,14,8,10,7,1
chr2,179202379,Zm00001eb097990,3.416799706097878,131,217.0,25,34,14,7,3,2
chr2,184394540,Zm00001eb099240,2.3588175467836083,177,877.0,25,68,19,19,10,1
chr2,187908036,Zm00001eb099850,1.5555304707154634,83,150.5,12,29,11,19,7,1
chr2,188343833,Zm00001eb099930,2.043435168426184,63,260.0,17,24,8,11,5,1
chr2,189051241,Zm00001eb100140,1.9935988145958217,521,611.0,25,152,24,20,8,1
chr2,195309375,Zm00001eb101980,2.0274421820994974,122,260.0,25,57,14,22,9,1
chr2,197316674,Zm00001eb102250,2.374165845346326,74,459.0,14,12,8,3,3,1
chr2,199471918,Zm00001eb102770,3.72460756663395,182,233.0,21,72,18,25,6,1
chr2,201176114,Zm00001eb103260,2.321060806569264,228,268.0,25,112,24,13,8,1
chr2,203976292,Zm00001eb104260,3.1423662585172822,696,773.0,13,246,29,11,7,2
chr2,204129280,Zm00001eb104300,2.0729768128253014,233,233.0,1,122,21,51,9,2
chr2,205427329,Zm00001eb104810,3.306003782257017,141,171.5,4,42,12,15,5,3
chr2,208547792,Zm00001eb105590,3.1140159289396037,122,210.0,15,64,17,33,8,2
chr2,208963532,Zm00001eb105750,3.984082892776928,59,92.0,21,8,6,8,6,1
chr2,210156220,Zm00001eb106100,2.2421915352182813,233,323.0,25,79,21,13,4,3
chr2,210259382,Zm00001eb106160,1.6798491547575147,328,422.0,25,128,20,13,8,1
chr2,210450109,Zm00001eb106240,0.774454218968955,62,62.0,1,17,7,17,7,1
chr2,210507799,Zm00001eb106250,1.8393724624089127,129,155.5,10,32,15,3,3,1
chr2,213303119,Zm00001eb107400,1.7135357031632072,66,119.0,19,36,8,30,8,1
chr2,216082865,Zm00001eb108390,3.0303187230202746,237,352.0,25,83,21,7,5,1
chr2,218577186,Zm00001eb109520,3.0542274549644044,60,362.5,24,29,6,16,4,1
chr2,219207006,Zm00001eb109710,2.3621668479860167,142,632.5,24,56,10,15,2,12
chr2,219308618,Zm00001eb109770,4.723984419407953,177,787.0,25,35,17,13,8,1
chr2,219948998,Zm00001eb110020,2.196394333079513,252,335.5,6,99,26,8,4,1
chr2,221893832,Zm00001eb110760,1.8964085092470744,581,682.0,3,289,30,12,8,2
chr2,227252089,Zm00001eb112590,1.7042008650994074,131,433.5,20,66,18,3,3,1
